prop_name,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region,district,facility_count,has_pool,has_gym,additional_facility_count,near_rail,has_ac,cooking_allowed,has_internet,rent
Prisma Cheras,Condominium,2.0,1.0,1.0,717.0,2,"Tennis Court, Sauna, Gymnasium, Squash Court, Barbeque area, Playground, Security, Swimming Pool, Lift, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,Cheras,12,1,1,4,1,1,1,0,1500.0
Seasons Garden Residences @ Wangsa Maju,Apartment,3.0,1.0,2.0,850.0,1,,,Kuala Lumpur,Wangsa Maju,0,0,0,1,0,0,0,0,1350.0
Lavile,Service Residence,3.0,0.0,2.0,864.0,2,"Swimming Pool, Barbeque area, Security, Multipurpose hall, Gymnasium, Lift, Playground, Sauna, Jogging Track, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Cheras,10,1,1,4,1,1,1,0,3000.0
Maxim Citilights,Service Residence,3.0,1.0,2.0,1150.0,0,"Security, Minimart, Playground, Swimming Pool, Multipurpose hall, Jogging Track, Lift",Near KTM/LRT,Kuala Lumpur,Sentul,7,1,0,1,1,0,0,0,1300.0
Fajar Ria,Condominium,3.0,0.0,2.0,1500.0,2,"Security, Playground, Swimming Pool, Gymnasium","Cooking Allowed, Near KTM/LRT, Air-Cond",Kuala Lumpur,Pantai,4,1,1,3,1,1,1,0,2500.0
Banyan Tree,Condominium,2.0,1.0,2.0,1076.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area","Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed",Kuala Lumpur,KLCC,7,1,1,4,1,1,1,0,7000.0
PPA1M Bukit Jalil,Apartment,3.0,1.0,2.0,1000.0,0,"Security, Lift, Playground, Minimart, Multipurpose hall",,Kuala Lumpur,Bukit Jalil,5,0,0,1,0,0,0,0,1300.0
Taman Connaught,Apartment,2.0,1.0,1.0,550.0,1,"Security, Lift, Playground, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Cheras,4,0,0,2,1,0,1,0,900.0
Midah Ria,Condominium,3.0,1.0,2.0,967.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Cheras,7,1,1,3,1,1,1,0,1300.0
Sri Kenangan,Condominium,4.0,1.0,2.0,1184.0,1,"Minimart, Barbeque area, Swimming Pool, Security, Playground",,Kuala Lumpur,Wangsa Maju,5,1,0,1,0,0,0,0,2500.0
Faber Ria,Condominium,2.0,1.0,2.0,1050.0,1,"Playground, Swimming Pool, Tennis Court, Squash Court, Minimart, Sauna, Club house, Security, Gymnasium, Barbeque area, Lift",Cooking Allowed,Kuala Lumpur,Taman Desa,11,1,1,1,0,0,1,0,1300.0
Banyan Tree,Condominium,2.0,1.0,2.0,1076.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,KLCC,9,1,1,4,1,1,1,0,7800.0
Villa Wangsamas,Condominium,3.0,0.0,3.0,1267.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur,Wangsa Maju,10,1,1,4,1,1,1,1,1700.0
Villa Wangsamas,Condominium,3.0,1.0,3.0,1267.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Wangsa Maju,10,1,1,5,1,1,1,1,2000.0
The Capers,Service Residence,2.0,0.0,2.0,999.0,1,"Playground, Gymnasium, Jogging Track, Security, Swimming Pool, Lift, Club house, Minimart, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Sentul,9,1,1,4,1,1,1,0,2100.0
